game,log,mc_value,noise,player,rs_value
satisfiability,road_traffic_fines,0.0,0.25,Seq2@1,-0.065389
satisfiability,road_traffic_fines,-0.003,0.25,Seq4@6,-0.079659
satisfiability,road_traffic_fines,-0.007,0.25,Seq2@5@2,-0.106123
liveness,road_traffic_fines,0.007,0.25,Seq2@3@1,0.012766
liveness,road_traffic_fines,0.006,0.25,Seq2@3@2,0.013025
liveness,road_traffic_fines,0.003,0.25,Seq3@4,0.006043
liveness,road_traffic_fines,0.002,0.25,Seq2@5@1,0.001542
liveness,road_traffic_fines,0.002,0.25,Seq2@4,-0.002642
liveness,road_traffic_fines,0.001,0.25,Seq2@5@2,0.001958
liveness,road_traffic_fines,0.0,0.25,Seq2@7@3,-0.006912
liveness,road_traffic_fines,0.0,0.25,Seq2@3@3,0.002152
liveness,road_traffic_fines,0.0,0.25,Seq3@2,0.003905
liveness,road_traffic_fines,0.0,0.25,Seq2@1,-0.002829
liveness,road_traffic_fines,-0.003,0.25,Seq4@6,-0.00702
liveness,road_traffic_fines,-0.004,0.25,Seq2@7@1,-0.00686
liveness,road_traffic_fines,-0.006,0.25,Seq2@7@4,-0.006955
liveness,road_traffic_fines,-0.008,0.25,Seq2@7@2,-0.006897
safety,road_traffic_fines,0.0,0.25,Seq2@3@1,0.0
safety,road_traffic_fines,0.0,0.25,Seq2@3@2,0.0
safety,road_traffic_fines,0.0,0.25,Seq2@5@1,0.0
safety,road_traffic_fines,0.0,0.25,Seq2@7@1,0.0
safety,road_traffic_fines,0.0,0.25,Seq2@7@2,0.0
safety,road_traffic_fines,0.0,0.25,Seq2@7@3,0.0
safety,road_traffic_fines,0.0,0.25,Seq2@7@4,0.0
safety,road_traffic_fines,0.0,0.25,Seq4@6,0.0
safety,road_traffic_fines,0.0,0.25,Seq2@5@2,0.0
safety,road_traffic_fines,0.0,0.25,Seq3@4,0.0
safety,road_traffic_fines,0.0,0.25,Seq2@4,0.0
safety,road_traffic_fines,0.0,0.25,Seq2@3@3,0.0
safety,road_traffic_fines,0.0,0.25,Seq3@2,0.0
safety,road_traffic_fines,0.0,0.25,Seq2@1,0.0
satisfiability,sepsis,0.269,0.25,Seq2@7@1,0.433606
satisfiability,sepsis,0.237,0.25,Seq2@8@2,0.409375
satisfiability,sepsis,0.231,0.25,Seq2@5@1,0.388417
satisfiability,sepsis,0.04,0.25,Seq2@5@3,0.015353
satisfiability,sepsis,0.036,0.25,Seq2@5@2,-0.022222
satisfiability,sepsis,0.029,0.25,Seq2@9@1,0.005109
satisfiability,sepsis,0.025,0.25,Seq2@3@1,0.0106
satisfiability,sepsis,0.024,0.25,Seq2@9@2,-0.013326
satisfiability,sepsis,0.022,0.25,Seq2@7@4,0.006374
satisfiability,sepsis,0.017,0.25,Seq4@6,-0.032778
satisfiability,sepsis,0.016,0.25,Seq2@7@2,0.009219
satisfiability,sepsis,0.016,0.25,Seq2@6,-0.014324
satisfiability,sepsis,0.014,0.25,Seq2@8@1,0.006966
satisfiability,sepsis,0.014,0.25,Seq2@8@3,-0.025874
satisfiability,sepsis,0.004,0.25,Seq2@5@4,-0.003654
satisfiability,sepsis,0.004,0.25,Seq4@4,-0.058605
satisfiability,sepsis,0.004,0.25,Seq3@4,-0.04374
satisfiability,sepsis,0.0,0.25,Seq2@3@2,-0.040302
satisfiability,sepsis,0.0,0.25,Seq3@2,-0.023499
satisfiability,sepsis,0.0,0.25,Seq2@1,-0.029931
satisfiability,sepsis,-0.002,0.25,Seq2@7@3,-0.016885
liveness,sepsis,0.663,0.25,Seq2@7@1,0.609475
liveness,sepsis,0.148,0.25,Seq2@8@1,0.151191
